timestamp,op,key
1000,GET,session:abc123
1001,GET,session:def456
1002,PUT,session:ghi789
1003,GET,session:abc123
1004,GET,session:jkl012
1005,GET,session:abc123
1006,PUT,session:mno345
1007,GET,session:def456
1008,GET,session:abc123
1009,GET,session:pqr678
1010,GET,session:abc123
1011,PUT,session:stu901
1012,GET,session:def456
1013,GET,session:abc123
1014,GET,session:ghi789
1015,GET,session:abc123
1016,GET,session:vwx234
1017,PUT,session:yza567
1018,GET,session:abc123
1019,GET,session:def456
1020,GET,session:abc123
1021,GET,session:bcd890
1022,PUT,session:efg123
1023,GET,session:abc123
1024,GET,session:def456
1025,GET,session:ghi789
1026,GET,session:abc123
1027,GET,session:hij456
1028,PUT,session:klm789
1029,GET,session:abc123
1030,GET,session:def456
1031,GET,session:abc123
1032,GET,session:nop012
1033,GET,session:abc123
1034,PUT,session:qrs345
1035,GET,session:def456
1036,GET,session:abc123
1037,GET,session:tuv678
1038,GET,session:abc123
1039,GET,session:def456
1040,PUT,session:wxy901
1041,GET,session:abc123
1042,GET,session:ghi789
1043,GET,session:abc123
1044,GET,session:zab234
1045,PUT,session:cde567
1046,GET,session:abc123
1047,GET,session:def456
1048,GET,session:abc123
1049,GET,session:fgh890
